Paper_ID,Assigned_to,Title,Lead_author,Year,Journal,Time_of_Year,Spatial_scale,Country,Continent,Taxonomic_scope,Species,Taxonomic_group,Quarry_Species,Comparison,Disturbance_Type,Disturbance_Specific,Response_Type,Response_Specific,Effect,FID_Distance,Synopsis,Notes,Paper_Retained
D020,Liam,Monitoring human disturbance: Factors affecting escape behaviour of waterbirds in North African wetlands,"Halassi, I.",2022,African Journal of Ecology,,,,,,,,,,,,,,,,,,
D021,Liam,Behavioural responses of non-breeding waterbirds to marine traffic in the near-shore environment,"Jarrett, D.",2020,Bird Study,,,,,,,,,,,,,,,,,,
D022,Liam,Spatiotemporal Changes in Waterfowl Habitat Suitability in the Caohai Lake Wetland and Responses to Human Activities,"Liu, X.",2022,Sustainability,,,,,,,,,,,,,,,,,,
D023,Liam,"Agent-based simulations of interact-ions between duck population, farming decisions and leasing of hunting rights in the Camargue (Southern France)","Mathevet, R.",2003,Ecological Modelling,,,,,,,,,,,,,,,,,,
D024,Liam,"Evaluation of unmanned aerial vehicle shape, flight path and camera type for waterfowl surveys: disturbance effects and species recognition","McEvoy, JF.",2016,PeerJ,,,,,,,,,,,,,,,,,,
D025,Liam,Effects of stewardship on protected area effectiveness for coastal birds,"Michel, NL.",2021,Conservation Biology,,,,,,,,,,,,,,,,,,
D026,Liam,"Design of grassland feeding areas for waders during winter: The relative importance of sward, landscape factors and human disturbance","Milsom, TP.",1998,Biological Conservation,,,,,,,,,,,,,,,,,,
D027,Liam,"Climate, trophic interactions, density dependence and carry-over effects on the population productivity of a migratory Arctic herbivorous bird","Morrissette, M.",2010,Oikos,,,,,,,,,,,,,,,,,,
D028,Liam,"The effects of reseeding, fertilizer application and disturbance on the use of grasslands by barnacle geese, and the implications for refuge management","Percival, SM.",1993,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D029,Liam,"The effect of fishing on the distribution and behaviour of waterbirds in the Kukut area of Lake Songkla, southern Thailand","Pierce, GJ.",1993,Biological Conservation,,,,,,,,,,,,,,,,,,
D030,Liam,Disturbance of Waterfowl by Boaters on Pool 4 of the Upper Mississippi River National Wildlife and Fish Refuge,"Rasmussen, H.",2010,Society & Natural Resources,,,,,,,,,,,,,,,,,,
D031,Liam,Roost availability may constrain shorebird distribution: Exploring the energetic costs of roosting and disturbance around a tropical bay,"Rogers, DI.",2006,Biological Conservation,,,,,,,,,,,,,,,,,,
D032,Liam,"Spatial and Temporal Patterns of Waterbird Assemblages in the Wilderness Lakes Complex, South Africa","Russell, AI.",2014,Waterbirds,,,,,,,,,,,,,,,,,,
D033,Liam,"Medium-term changes in coastal bird communities in the Western Cape, South Africa","Ryan, PG.",2013,Austral Ecology,,,,,,,,,,,,,,,,,,
D034,Liam,Roost location and landscape attributes influencing habitat selection of migratory waterbirds in rice fields,"Santiago-Quesada, F.",2014,"Agriculture, Ecosystems & Environment",,,,,,,,,,,,,,,,,,
D035,Liam,A Bayesian optimal escape model reveals bird species differ in their capacity to habituate to humans,"Sutton, NM.",2021,Behavioural Ecology,,,,,,,,,,,,,,,,,,
D036,Liam,Assessing the impacts of bait collection on inter-tidal sediment and the associated macrofaunal and bird communities: The importance of appropriate spatial scales,"Watson, GJ.",2017,Marine Environmental Research,,,,,,,,,,,,,,,,,,
D037,Liam,The effects of food abundance and disturbance on foraging flock patterns of the wintering Hooded Crane (Grus monacha),"Yang, L.",2015,Avian Research,,,,,,,,,,,,,,,,,,
D038,Liam,An approach to assess the potential impacts of human disturbance on wintering tropical shorebird,"Yasue, M.",2008,Oryx,,,,,,,,,,,,,,,,,,
D039,Liam,"The Influence of Food Density, Flock Size, and Disturbance on the Functional Response of Bewick's Swans (Cygnus columbianus bewickii) in Wintering Habitats","Yu, C.",2019,Animals,,,,,,,,,,,,,,,,,,
D040,Liam,"Crucial sites and environmental variables for wintering migratory waterbird population distributions in the natural wetlands in East Dongting Lake, China","Zou, YA.",2019,Science of the Total Environment,,,,,,,,,,,,,,,,,,
D041,Luke,An evaluation of the level of human disturbance to waterbirds at Mole National Park in Ghana,"Aikins, TK.",2018,Wetlands Ecology and Management,,,,,,,,,,,,,,,,,,
D042,Luke,Leisure activities as a main threat for the conservation of waterbirds in an estuary in northern Iberia,"Arizaga, J.",2020,Animal Biodiversity and Conservation,,,,,,,,,,,,,,,,,,
D043,Luke,Behavioral responses of Canada geese to winter harassment in the context of human-wildlife conflicts,"Askren, RJ.",2022,Wildlife Society Bulletin,,,,,,,,,,,,,,,,,,
D044,Luke,Profound and pervasive degradation of Madagascar's freshwater wetlands and links with biodiversity,"Bamford, AJ",2017,PLoS One,,,,,,,,,,,,,,,,,,
D045,Luke,Behavioural responses to human disturbance: a matter of choice?,"Beale, CM.",2004,Animal Behaviour,,,,,,,,,,,,,,,,,,
D046,Luke,The role of protected area wetlands in waterfowl habitat conservation: Implications for protected area network design,"Beatty, WS.",2014,Biological Conservation,,,,,,,,,,,,,,,,,,
D047,Luke,Movements and Habitat Use by Temperate-Nesting Canada Geese During the Postbreeding Period in Southern Quebec,"Beaumont, M.",2013,Avian Conservation and Ecology,,,,,,,,,,,,,,,,,,
D048,Luke,"The effects of disturbance on behaviour, habitat use and energy of spring staging snow geese","Bechet, A.",2004,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D049,Luke,Spring hunting changes the regional movements of migrating greater snow geese,"Bechet, A.",2003,Journal of Applied Ecology,,,,,,,,,,,,,,,,,,
D050,Luke,Evaluation of disturbance effect on geese caused by an approaching unmanned aerial vehicle,"Bech-Hansen, M.",2020,Wildlife Research,,,,,,,,,,,,,,,,,,
D051,Luke,Testing a key assumption of wildlife buffer zones: is flight initiation distance a species-specific trait?,"Blumstein, DT.",2003,Biological Conservation,,,,,,,,,,,,,,,,,,
D052,Luke,Creating new foraging opportunities for dark-bellied brent Branta bernicla and barnacle geese Branta leucopsis in spring insights from a large-scale experiment,"Bos, D.",2003,Ardea,,,,,,,,,,,,,,,,,,
D053,Luke,Tools in waterfowl reserve management: effects of intermittent hunting adjacent to a shooting-free core area,"Bregnballe, T.",2004,Wildlife Biology,,,,,,,,,,,,,,,,,,
D054,Luke,Effects of temporal and spatial hunting control in waterbird reserves,"Bregnballe, T.",2004,Biological Conservation,,,,,,,,,,,,,,,,,,
